,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Playing Time,Performance,Expected,Progression,Per 90 Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Haley Hanson,us USA,MF,29-265,25,24,"2,127",23.6,3,4,7,3,0,0,2,0,5.3,5.3,1.4,6.7,19,84,59,0.13,0.17,0.3,0.13,0.3,0.22,0.06,0.28,0.22,0.28,Matches
Anna Moorhouse,eng ENG,GK,30-209,24,24,"2,120",23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
Emily Sams,us USA,DF,26-116,24,23,"2,093",23.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,31,153,28,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Angelina,br BRA,MF,25-272,23,20,"1,720",19.1,0,1,1,0,0,1,2,0,2.1,1.4,2.5,3.9,10,90,74,0,0.05,0.05,0,0.05,0.11,0.13,0.24,0.07,0.2,Matches
Ally Watt,us USA,"MF,FW",28-227,24,19,"1,546",17.2,2,2,4,2,0,0,1,0,4.8,4.8,1.7,6.5,36,18,102,0.12,0.12,0.23,0.12,0.23,0.28,0.1,0.38,0.28,0.38,Matches
Marta,br BRA,"FW,MF",39-248,21,17,"1,514",16.8,4,1,5,1,3,3,0,0,4.1,1.9,3.9,5.8,46,75,102,0.24,0.06,0.3,0.06,0.12,0.24,0.23,0.47,0.11,0.34,Matches
Kylie Strom,us USA,DF,33-221,17,17,"1,512",16.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,11,65,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
Kerry Abello,us USA,DF,26-038,22,17,"1,485",16.5,1,0,1,1,0,0,2,0,0.6,0.6,0.5,1.1,39,88,47,0.06,0,0.06,0.06,0.06,0.03,0.03,0.07,0.03,0.07,Matches
Ally Lemos,us USA,"MF,FW",21-235,25,15,"1,353",15,0,0,0,0,0,0,4,0,1.1,1,0.9,1.9,8,69,41,0,0,0,0,0,0.07,0.06,0.13,0.07,0.13,Matches
Barbra Banda,zm ZAM,FW,25-219,16,15,"1,296",14.4,8,1,9,8,0,0,3,0,8.6,8.5,1.8,10.3,72,16,112,0.56,0.07,0.62,0.56,0.62,0.59,0.12,0.72,0.59,0.72,Matches
Oihane Hernández,es ESP,DF,25-174,20,15,"1,106",12.3,0,2,2,0,0,0,0,0,0.4,0.4,1.7,2.2,32,46,78,0,0.16,0.16,0,0.16,0.04,0.14,0.18,0.04,0.18,Matches
Carson Pickett,us USA,"DF,MF",32-040,21,14,"1,257",14,2,2,4,2,0,0,0,0,1,1,1.5,2.5,17,59,78,0.14,0.14,0.29,0.14,0.29,0.07,0.11,0.18,0.07,0.18,Matches
Morgan Gautrat,us USA,"MF,FW",32-241,11,10,667,7.4,0,1,1,0,0,0,0,0,0.8,0.8,1.7,2.5,3,47,19,0,0.13,0.13,0,0.13,0.11,0.23,0.34,0.11,0.34,Matches
Cori Dyke,us USA,DF,25-035,21,9,"1,084",12,1,0,1,1,0,0,1,0,0.1,0.1,0.3,0.4,14,70,27,0.08,0,0.08,0.08,0.08,0.01,0.02,0.03,0.01,0.03,Matches
Rafaelle,br BRA,DF,34-129,11,9,723,8,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,2,26,0,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
Lizbeth Ovalle,mx MEX,"FW,MF",26-006,7,6,575,6.4,1,1,2,1,0,0,1,0,1.8,1.8,1.7,3.5,13,14,53,0.16,0.16,0.31,0.16,0.31,0.29,0.27,0.55,0.29,0.55,Matches
Summer Yates,us USA,MF,25-130,15,5,514,5.7,0,1,1,0,0,0,1,0,1.4,1.4,2.1,3.4,9,12,28,0,0.18,0.18,0,0.18,0.24,0.37,0.6,0.24,0.6,Matches
Zara Chavosi,ca CAN,DF,22-323,9,5,482,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,23,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Prisca Chilufya,zm ZAM,"FW,MF",26-139,16,4,512,5.7,2,0,2,2,0,0,2,0,1.3,1.3,1.1,2.4,28,7,54,0.35,0,0.35,0.35,0.35,0.23,0.19,0.42,0.23,0.42,Matches
Julie Doyle,us USA,"MF,FW",27-056,10,4,344,3.8,1,1,2,1,0,1,0,0,1.1,0.4,0.7,1.1,9,6,26,0.26,0.26,0.52,0.26,0.52,0.3,0.18,0.48,0.11,0.29,Matches
Simone Charley,us USA,"FW,MF",30-263,9,1,226,2.5,1,0,1,1,0,0,1,0,1.9,1.9,0.1,2,5,4,14,0.4,0,0.4,0.4,0.4,0.77,0.04,0.81,0.77,0.81,Matches
Simone Jackson,us USA,"MF,FW",22-270,7,1,202,2.2,0,1,1,0,0,0,0,0,0.8,0.8,0.7,1.5,5,4,17,0,0.45,0.45,0,0.45,0.36,0.3,0.66,0.36,0.66,Matches
McKinley Crone,,GK,,2,1,130,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Viviana Villacorta,us USA,"MF,DF",26-265,6,0,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,Matches
Grace Chanda,zm ZAM,"MF,FW",28-136,4,0,40,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,2,2,0,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
Luana,br BRA,"FW,MF",32-176,3,0,31,0.3,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,1,1,0,0,0,0,0,0,0.49,0.49,0,0.49,Matches
Brianna Martinez,us USA,FW,25-186,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
Elyse Bennett,us USA,FW,26-076,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.6,25,275,"2,250",25,26,18,44,23,3,5,26,0,37.2,33.5,25,58.5,415,986,971,1.04,0.72,1.76,0.92,1.64,1.49,1,2.49,1.34,2.34,
Opponent Total,,,27,25,275,"2,250",25,25,14,39,24,1,1,32,0,29,28.3,19.8,48.1,310,761,744,1,0.56,1.56,0.96,1.52,1.16,0.79,1.95,1.13,1.92,
